State,DistrictID,DistrictName,gwDepth,GCAKharif,GCARabi,GCASummer,GIAKharif,GIARabi,GIASummer,kwhkharif,kwhrabi,kwhsummer,TotalEnergy
Haryana,15868, Jind ,28,111683,185845,335,27701.36453,28435.23457,15.77462566,283.67,192.08,0,67.37
Haryana,15869, Kaithal ,36,332887,443983,173134,72385.78042,72804.64479,178.5891317,402.62,242.07,0,241.5
Haryana,15870, Karnal ,28,92876,142196,3984,134058.7131,130061.0647,299.8194898,277.15,183.49,0,51.83
Haryana,15871, Kurukshetra ,48,246850,272042,55628,121228.8558,120208.5759,25.08514639,384.06,284.31,0,172.14
Haryana,15872, Mahendragarh ,65,203501,178797,6636,20003.28511,61666.18639,407.0238123,339.19,471.14,0,153.26
Haryana,15873, Panchkula ,50,213756,178668,11748,3113.024845,3421.725155,46.57142857,320.21,269.1,0,116.52
Haryana,15874, Panipat ,29,149744,134343,17984,40077.57859,40800.25943,6.034175434,278.6,189.31,0,67.15
Haryana,15875, Rewari ,28,131945,150442,1684,10849.78775,48301.84185,27.79830731,155.12,211.91,0,52.34
Haryana,15876, Rohtak ,11,25791,20509,1125,718.9940932,840.1842868,4.905284148,87.55,87.18,0,4.04
Haryana,15877, Sirsa ,26,99617,91152,6728,43944.39748,44176.9334,207.419754,338.47,197.3,0,51.7
Haryana,15878, Sonepat ,21,80330,122414,1810,17718.84499,17910.38873,3.208590872,194.83,150.51,0,34.07
Haryana,15878, Sonepat ,21,80330,122414,1810,17718.84499,17910.38873,3.208590872,194.83,150.51,0,34.07
Haryana,15878, Sonepat ,21,80330,122414,1810,17718.84499,17910.38873,3.208590872,194.83,150.51,0,34.07
Haryana,15879, Yamuna Nagar ,20,118474,141619,28953,47852.37345,43136.3978,73.92561082,94.26,91.11,0,24.07
Haryana,15879, Yamuna Nagar ,20,118474,141619,28953,47852.37345,43136.3978,73.92561082,94.26,91.11,0,24.07
Himachal Pradesh,15881, Chamba ,10,345009,532029,217007,0,0,0,21.81,9.79,91.94,32.68
Himachal Pradesh,15882, Hamirpur ,34,142644,158926,13148,25.02958887,25.13226744,0,136.65,94.26,531.72,41.46
Himachal Pradesh,15882, Hamirpur ,34,142644,158926,13148,25.02958887,25.13226744,0,136.65,94.26,531.72,41.46
Himachal Pradesh,15883, Kangra ,17,123055,115407,44708,2390.399032,2384.251059,401.2290901,46.51,27.17,209.19,18.21
Himachal Pradesh,15884, Kinnaur ,13,34603,32201,4389,0,0,0,32.61,11.29,99.3,1.92
Himachal Pradesh,15885, Kullu ,7,32797,34721,2580,0,1,0,14.18,5.56,49.19,0.78
Himachal Pradesh,15887, Mandi ,22,5862,4701,2173,132.244898,87.42857143,10.28571429,67.72,43.65,269.49,1.18
Himachal Pradesh,15888, Shimla ,49,30196,35994,9247,0,0,0,123.94,84.6,504.97,11.45
Himachal Pradesh,15889, Sirmaur ,45,231,3067,48,418.71,411.43,35.11916667,184.97,199.4,892.49,0.69
Himachal Pradesh,15890, Solan ,55,60077,73894,21686,852.3870968,1449.387097,26.12903226,226.88,190.69,970.13,48.75
